epochTime, takeoff, landing, flyover
1616364000, 38, 42, 422
1616450400, 42, 44, 416
1616536800, 33, 35, 423
1616623200, 50, 54, 440
1616709600, 54, 49, 481
1616796000, 70, 76, 517
1616882400, 74, 75, 476
1616968800, 57, 56, 441
1616968800, 50, 57, 422
1617055200, 43, 48, 389
1617141600, 62, 59, 428
1617228000, 69, 54, 444
1617314400, 43, 51, 530
1617400800, 40, 44, 483
1617487200, 56, 53, 452
1617573600, 58, 66, 363
1617660000, 39, 44, 380
1617746400, 50, 51, 424
1617832800, 61, 64, 494
1617919200, 69, 68, 542
1618005600, 46, 56, 483
1618092000, 66, 77, 473
1618178400, 62, 58, 428
1618264800, 40, 44, 426
1618351200, 55, 42, 413
1618437600, 42, 31, 424
1618524000, 56, 23, 511
1618610400, 30, 39, 401
1618696800, 49, 42, 430
1618783200, 52, 48, 369
1618869600, 38, 35, 377
1618956000, 44, 37, 416
1619042400, 40, 23, 428
1619128800, 50, 42, 484
1619215200, 39, 21, 441
1619301600, 39, 26, 442
1619388000, 44, 24, 434
1619474400, 39, 27, 370
1619560800, 53, 34, 444
1619647200, 50, 52, 377
1619733600, 67, 57, 405
1619820000, 49, 50, 461
1619906400, 48, 55, 429
1619992800, 45, 52, 416
1620079200, 38, 37, 399
1620165600, 57, 57, 400
1620252000, 54, 55, 424
1620338400, 62, 60, 463
1620424800, 52, 59, 454
1620511200, 64, 65, 369
1620597600, 51, 51, 339
1620684000, 48, 43, 365
1620770400, 66, 66, 394
1620856800, 52, 60, 359
1620943200, 62, 67, 371
1621029600, 67, 65, 382
1621116000, 73, 82, 386
1621202400, 59, 66, 344
1621288800, 52, 48, 363
1621375200, 63, 68, 368
1621461600, 74, 75, 416
1621548000, 91, 86, 420
1621634400, 79, 82, 393
1621720800, 70, 69, 389
1621807200, 53, 65, 286
1621893600, 55, 69, 347
1621980000, 68, 63, 363
1622066400, 65, 63, 377
1622152800, 74, 61, 447
1622239200, 75, 32, 462
